"URI"	"scientificName"	"is_current"
"http://florabase.dec.wa.gov.au/browse/profile/230"	"Astrebla squarrosa C.E.Hubb."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/231"	"Avellinia michelii (Savi) Parl."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/232"	"Avena abyssinica Hochst."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/233"	"Avena barbata Link"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/234"	"Avena fatua L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/235"	"Avena sativa L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/236"	"Avena sterilis L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/237"	"Avena strigosa Schreb."	"N"
"http://florabase.dec.wa.gov.au/browse/profile/238"	"Axonopus affinis Chase"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/239"	"Bothriochloa bladhii (Retz.) S.T.Blake"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/240"	"Bothriochloa ewartiana (Domin) C.E.Hubb."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/241"	"Brachyachne convergens (F.Muell.) Stapf"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/242"	"Brachyachne prostrata C.A.Gardner & C.E.Hubb."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/243"	"Brachyachne tenella (R.Br.) C.E.Hubb."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/244"	"Briza maxima L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/245"	"Briza minor L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/246"	"Bromus alopecuros Poir."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/247"	"Bromus arenarius Labill."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/248"	"Bromus catharticus Vahl"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/249"	"Bromus diandrus Roth"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/250"	"Bromus hordeaceus L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/251"	"Bromus japonicus Thunb."	"N"
"http://florabase.dec.wa.gov.au/browse/profile/252"	"Bromus madritensis L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/253"	"Bromus rubens L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/254"	"Capillipedium parviflorum (R.Br.) Stapf"	"Y"
